,Size,Availability,Furnishing,Price,Flat Size,Location,Balcony,Ready to Move,Under Construction,furnished,semi-furnished,unfurnished,furnished,semi-furnished,unfurnished
183,1100,Ready to Move,furnished,190.0,3,Kharadi,2,True,False,True,False,False,True,False,False
184,1354,Ready to Move,semi-furnished,138.0,3,Wakad,3,True,False,False,True,False,False,True,False
185,450,Ready to Move,furnished,45.0,1,Kondhwa,1,True,False,True,False,False,True,False,False
186,820,Under Construction,unfurnished,73.0,2,Lohegaon,2,False,True,False,False,True,False,False,True
187,1900,Ready to Move,unfurnished,254.99999999999997,4,Wakad,3,True,False,False,False,True,False,False,True
188,1167,Ready to Move,unfurnished,170.0,3,Baner,2,True,False,False,False,True,False,False,True
189,2200,Ready to Move,semi-furnished,375.0,3,Kharadi,2,True,False,False,True,False,False,True,False
190,820,Ready to Move,unfurnished,85.0,2,Kharadi,2,True,False,False,False,True,False,False,True
191,1806,Ready to Move,furnished,204.99999999999997,3,Baner,3,True,False,True,False,False,True,False,False
192,2000,Ready to Move,semi-furnished,270.0,3,Kharadi,2,True,False,False,True,False,False,True,False
193,1082,Under Construction,unfurnished,124.0,3,Hadapsar,3,False,True,False,False,True,False,False,True
194,955,Under Construction,unfurnished,99.3,3,Hinjewadi,2,False,True,False,False,True,False,False,True
195,1080,Ready to Move,unfurnished,98.3,3,Ravet,2,True,False,False,False,True,False,False,True
196,820,Under Construction,unfurnished,73.0,2,Lohegaon,2,False,True,False,False,True,False,False,True
197,1167,Ready to Move,unfurnished,170.0,3,Baner,3,True,False,False,False,True,False,False,True
198,820,Ready to Move,unfurnished,85.0,2,Kharadi,2,True,False,False,False,True,False,False,True
199,1806,Ready to Move,furnished,204.99999999999997,3,Baner,3,True,False,True,False,False,True,False,False
200,1082,Under Construction,unfurnished,124.0,3,Hadapsar,2,False,True,False,False,True,False,False,True
201,1080,Ready to Move,unfurnished,98.3,3,Ravet,2,True,False,False,False,True,False,False,True
202,1232,Ready to Move,unfurnished,195.0,3,Hadapsar,2,True,False,False,False,True,False,False,True
203,1100,Ready to Move,semi-furnished,72.0,2,Kondhwa,1,True,False,False,True,False,False,True,False
204,1250,Ready to Move,unfurnished,179.0,3,Kharadi,2,True,False,False,False,True,False,False,True
205,2275,Ready to Move,unfurnished,470.0,4,Aundh,2,True,False,False,False,True,False,False,True
206,1211,Ready to Move,semi-furnished,175.0,3,Kharadi,3,True,False,False,True,False,False,True,False
207,680,Ready to Move,unfurnished,73.0,2,Hinjewadi,2,True,False,False,False,True,False,False,True
208,1040,Under Construction,unfurnished,127.0,3,other,3,False,True,False,False,True,False,False,True
209,850,Under Construction,unfurnished,125.0,2,Hadapsar,3,False,True,False,False,True,False,False,True
210,1037,Ready to Move,semi-furnished,106.0,2,Kharadi,2,True,False,False,True,False,False,True,False
211,1300,Ready to Move,semi-furnished,305.0,3,Kharadi,2,True,False,False,True,False,False,True,False
212,2600,Ready to Move,furnished,550.0,6,Baner,3,True,False,True,False,False,True,False,False
213,1550,Ready to Move,furnished,152.0,3,Wakad,2,True,False,True,False,False,True,False,False
214,1200,Ready to Move,unfurnished,126.0,3,Wakad,2,True,False,False,False,True,False,False,True
215,2275,Ready to Move,unfurnished,470.0,4,Aundh,2,True,False,False,False,True,False,False,True
216,680,Ready to Move,unfurnished,73.0,2,Hinjewadi,1,True,False,False,False,True,False,False,True
217,1040,Under Construction,unfurnished,127.0,3,other,2,False,True,False,False,True,False,False,True
218,1037,Ready to Move,semi-furnished,106.0,2,Kharadi,2,True,False,False,True,False,False,True,False
219,1300,Ready to Move,semi-furnished,305.0,3,Kharadi,2,True,False,False,True,False,False,True,False
220,2600,Ready to Move,furnished,550.0,6,Baner,3,True,False,True,False,False,True,False,False
221,1200,Ready to Move,unfurnished,126.0,3,Wakad,3,True,False,False,False,True,False,False,True
222,2200,Ready to Move,unfurnished,350.0,3,Balewadi,3,True,False,False,False,True,False,False,True
223,1167,Ready to Move,unfurnished,150.0,3,Kharadi,2,True,False,False,False,True,False,False,True
224,1800,Ready to Move,unfurnished,350.0,4,Balewadi,2,True,False,False,False,True,False,False,True
225,958,Under Construction,unfurnished,70.0,3,Chinchwad,1,False,True,False,False,True,False,False,True
226,1115,Under Construction,unfurnished,118.0,3,Kharadi,2,False,True,False,False,True,False,False,True
227,1920,Ready to Move,semi-furnished,409.99999999999994,4,Pimple Nilakh,2,True,False,False,True,False,False,True,False
228,2700,Ready to Move,furnished,650.0,4,Baner,2,True,False,True,False,False,True,False,False
229,870,Ready to Move,semi-furnished,129.0,3,Kharadi,3,True,False,False,True,False,False,True,False
230,970,Ready to Move,semi-furnished,64.0,3,Hadapsar,2,True,False,False,True,False,False,True,False
231,1691,Ready to Move,unfurnished,275.0,3,Kharadi,2,True,False,False,False,True,False,False,True
232,1900,Ready to Move,unfurnished,360.0,4,Aundh,3,True,False,False,False,True,False,False,True
233,1167,Ready to Move,unfurnished,150.0,3,Kharadi,3,True,False,False,False,True,False,False,True
234,1800,Ready to Move,unfurnished,350.0,4,Balewadi,2,True,False,False,False,True,False,False,True
235,958,Under Construction,unfurnished,70.0,3,Chinchwad,1,False,True,False,False,True,False,False,True
236,1115,Under Construction,unfurnished,118.0,3,Kharadi,2,False,True,False,False,True,False,False,True
237,1920,Ready to Move,semi-furnished,409.99999999999994,4,Pimple Nilakh,2,True,False,False,True,False,False,True,False
238,2700,Ready to Move,furnished,650.0,4,Baner,3,True,False,True,False,False,True,False,False
239,870,Ready to Move,semi-furnished,129.0,3,Kharadi,2,True,False,False,True,False,False,True,False
240,970,Ready to Move,semi-furnished,64.0,3,Hadapsar,1,True,False,False,True,False,False,True,False
241,800,Ready to Move,furnished,102.0,2,Hadapsar,2,True,False,True,False,False,True,False,False
242,950,Ready to Move,semi-furnished,110.00000000000001,3,Kharadi,2,True,False,False,True,False,False,True,False
243,1180,Ready to Move,semi-furnished,151.0,3,Viman Nagar,3,True,False,False,True,False,False,True,False
244,795,Ready to Move,unfurnished,87.1,2,Hinjewadi,2,True,False,False,False,True,False,False,True
245,750,Ready to Move,unfurnished,58.0,2,Lohegaon,2,True,False,False,False,True,False,False,True
246,780,Ready to Move,semi-furnished,70.0,2,Ravet,1,True,False,False,True,False,False,True,False
247,1000,Ready to Move,unfurnished,146.0,2,Hadapsar,3,True,False,False,False,True,False,False,True
248,901,Ready to Move,furnished,90.0,2,Pimple Saudagar,2,True,False,True,False,False,True,False,False
249,650,Ready to Move,unfurnished,44.0,2,Lohegaon,1,True,False,False,False,True,False,False,True
250,1306,Under Construction,unfurnished,174.0,3,Balewadi,3,False,True,False,False,True,False,False,True
251,890,Under Construction,unfurnished,120.0,2,Balewadi,2,False,True,False,False,True,False,False,True
252,1306,Under Construction,unfurnished,170.0,3,Balewadi,2,False,True,False,False,True,False,False,True
253,890,Ready to Move,unfurnished,135.0,2,Baner,3,True,False,False,False,True,False,False,True
254,1350,Ready to Move,unfurnished,150.0,3,Baner,3,True,False,False,False,True,False,False,True
255,1190,Ready to Move,furnished,124.0,2,Baner,3,True,False,True,False,False,True,False,False
256,1250,Ready to Move,furnished,160.0,2,Viman Nagar,3,True,False,True,False,False,True,False,False
257,950,Ready to Move,semi-furnished,110.00000000000001,3,Kharadi,2,True,False,False,True,False,False,True,False
258,750,Ready to Move,unfurnished,58.0,2,Lohegaon,1,True,False,False,False,True,False,False,True
259,780,Ready to Move,semi-furnished,70.0,2,Ravet,2,True,False,False,True,False,False,True,False
260,1000,Ready to Move,unfurnished,146.0,2,Hadapsar,2,True,False,False,False,True,False,False,True
261,901,Ready to Move,furnished,90.0,2,Pimple Saudagar,2,True,False,True,False,False,True,False,False
262,1306,Under Construction,unfurnished,174.0,3,Balewadi,3,False,True,False,False,True,False,False,True
263,890,Under Construction,unfurnished,120.0,2,Balewadi,2,False,True,False,False,True,False,False,True
264,1350,Ready to Move,unfurnished,150.0,3,Baner,2,True,False,False,False,True,False,False,True
265,1190,Ready to Move,furnished,124.0,2,Baner,2,True,False,True,False,False,True,False,False
266,669,Ready to Move,semi-furnished,32.0,1,Hadapsar,1,True,False,False,True,False,False,True,False
267,1420,Ready to Move,semi-furnished,229.99999999999997,3,Hadapsar,2,True,False,False,True,False,False,True,False
268,936,Ready to Move,furnished,100.0,3,Hadapsar,2,True,False,True,False,False,True,False,False
269,1090,Ready to Move,semi-furnished,165.0,2,Kharadi,2,True,False,False,True,False,False,True,False
270,1200,Ready to Move,semi-furnished,166.0,2,Viman Nagar,2,True,False,False,True,False,False,True,False
271,1090,Ready to Move,semi-furnished,125.0,3,Kharadi,3,True,False,False,True,False,False,True,False
272,780,Ready to Move,unfurnished,80.0,2,Wakad,2,True,False,False,False,True,False,False,True
273,812,Ready to Move,unfurnished,84.9,2,Ravet,2,True,False,False,False,True,False,False,True
274,1700,Ready to Move,furnished,365.0,3,Baner,2,True,False,True,False,False,True,False,False
275,900,Ready to Move,furnished,114.99999999999999,2,Wakad,2,True,False,True,False,False,True,False,False
276,818,Ready to Move,unfurnished,97.0,2,Baner,2,True,False,False,False,True,False,False,True
277,535,Ready to Move,unfurnished,83.0,1,Viman Nagar,2,True,False,False,False,True,False,False,True
278,860,Ready to Move,semi-furnished,90.0,2,Baner,2,True,False,False,True,False,False,True,False
279,900,Ready to Move,furnished,140.0,2,Kothrud,2,True,False,True,False,False,True,False,False
280,1055,Ready to Move,semi-furnished,162.0,3,Wakad,3,True,False,False,True,False,False,True,False
281,750,Ready to Move,unfurnished,85.0,1,Viman Nagar,2,True,False,False,False,True,False,False,True
282,400,Ready to Move,unfurnished,72.0,1,Hadapsar,2,True,False,False,False,True,False,False,True
283,1150,Ready to Move,semi-furnished,170.0,3,Hinjewadi,2,True,False,False,True,False,False,True,False
284,990,Ready to Move,semi-furnished,114.99999999999999,2,Kharadi,2,True,False,False,True,False,False,True,False
285,679,Ready to Move,unfurnished,88.0,2,Kharadi,2,True,False,False,False,True,False,False,True
286,1090,Ready to Move,semi-furnished,165.0,2,Kharadi,2,True,False,False,True,False,False,True,False
