Size,Availability,Furnishing,Price,Flat Size,Location,Balcony
1300 sqft,Ready to Move,semi-furnished,3.05 Cr,3 BHK,Kharadi,2
2600 sqft,Ready to Move,furnished,5.50 Cr,6 BHK,Baner,3
1200 sqft,Ready to Move,unfurnished,1.26 Cr,3 BHK,Wakad,3
2200 sqft,Ready to Move,unfurnished,3.50 Cr,3 BHK,Balewadi,3
1167 sqft,Ready to Move,unfurnished,1.50 Cr,3 BHK,Kharadi,2
1800 sqft,Ready to Move,unfurnished,3.50 Cr,4 BHK,Balewadi,2
958 sqft,Poss. by Jun '26,unfurnished,70 Lac,3 BHK,Chinchwad,1
1115 sqft,Poss. by Dec '28,unfurnished,1.18 Cr,3 BHK,Kharadi,2
1920 sqft,Ready to Move,semi-furnished,4.10 Cr,4 BHK,Pimple Nilak,2
2700 sqft,Ready to Move,furnished,6.50 Cr,4 BHK,Baner,2
870 sqft,Ready to Move,semi-furnished,1.29 Cr,3 BHK,Kharadi,3
970 sqft,Ready to Move,semi-furnished,64 Lac,3 BHK,Hadapsar,2
1691 sqft,Ready to Move,unfurnished,2.75 Cr,3 BHK,Kharadi,2
1900 sqft,Ready to Move,unfurnished,3.60 Cr,4 BHK,Aundh,3
1167 sqft,Ready to Move,unfurnished,1.50 Cr,3 BHK,Kharadi,3
1800 sqft,Ready to Move,unfurnished,3.50 Cr,4 BHK,Balewadi,2
958 sqft,Poss. by Jun '26,unfurnished,70 Lac,3 BHK,Chinchwad,1
1115 sqft,Poss. by Dec '28,unfurnished,1.18 Cr,3 BHK,Kharadi,2
1920 sqft,Ready to Move,semi-furnished,4.10 Cr,4 BHK,Pimple Nilak,2
2700 sqft,Ready to Move,furnished,6.50 Cr,4 BHK,Baner,3
870 sqft,Ready to Move,semi-furnished,1.29 Cr,3 BHK,Kharadi,2
970 sqft,Ready to Move,semi-furnished,64 Lac,3 BHK,Hadapsar,1
800 sqft,Ready to Move,furnished,1.02 Cr,2 BHK,Hadapsar,2
950 sqft,Ready to Move,semi-furnished,1.10 Cr,3 BHK,Kharadi,2
1180 sqft,Ready to Move,semi-furnished,1.51 Cr,3 BHK,Viman Nagar,3
795 sqft,Ready to Move,unfurnished,87.1 Lac,2 BHK,Hinjewadi,2
750 sqft,Ready to Move,unfurnished,58 Lac,2 BHK,Lohegaon,2
780 sqft,Ready to Move,semi-furnished,70 Lac,2 BHK,Ravet,1
1000 sqft,Ready to Move,unfurnished,1.46 Cr,2 BHK,Hadapsar,3
901 sqft,Ready to Move,furnished,90 Lac,2 BHK,Pimple Saudagar,2
650 sqft,Ready to Move,unfurnished,44 Lac,2 BHK,Lohegaon,1
1306 sqft,Poss. by Dec '28,unfurnished,1.74 Cr,3 BHK,Balewadi,3
890 sqft,Poss. by Dec '27,unfurnished,1.20 Cr,2 BHK,Balewadi,2
1306 sqft,Poss. by Dec '27,unfurnished,1.70 Cr,3 BHK,Balewadi,2
890 sqft,Ready to Move,unfurnished,1.35 Cr,2 BHK,Baner,3
1350 sqft,Ready to Move,unfurnished,1.50 Cr,3 BHK,Baner,3
1190 sqft,Ready to Move,furnished,1.24 Cr,2 BHK,Baner,3
1250 sqft,Ready to Move,furnished,1.60 Cr,2 BHK,Viman Nagar,3
950 sqft,Ready to Move,semi-furnished,1.10 Cr,3 BHK,Kharadi,2
750 sqft,Ready to Move,unfurnished,58 Lac,2 BHK,Lohegaon,1
780 sqft,Ready to Move,semi-furnished,70 Lac,2 BHK,Ravet,2
